schoolname,city,state
Gresham School of Excellence,Chicago,IL
Mariner High School,Everett,WA
Byhalia High School,Byhalia,MS
Walnut Park Elementary School,Gadsden,AL
Little Rock School District Bus,Little Rock,AR
Pershing High School,Detroit,MI
West Side Leadership Academy,Gary,IN
Ulysses S. Grant Senior High School,Los Angeles,CA
Morris Jeff High School,New Orleans,LA
Helix High School,La Mesa,CA
Daniel Webster Public School,Chicago,IL
Duff Elementary School,Arlington,TX
Mevers School of Excellence,Goose Creek,SC
St. Margaret of Scotland School,Chicago,IL
Riverside University High School,Milwaukee,WI
Robb Elementary School,Uvalde,TX
Powell Elementary School,Washington,DC
Simon Gratz High School,Philadelphia,PA
Potomac High School,Dumfries,VA
East Lake Elementary School,Chattanooga,TN
Canal Winchester High School,Canal Winchester,OH
South Elementary School,Pittsfield,IL
Mary W Burroughs Elementary School,Theodore,AL
George Wythe High School,Richmond,VA
East Kentwood High School,Kentwood,MI
Hammond High Magnet School,Hammond,LA
Riverdale High School,Murfreesboro,TN
Palmetto High School,Palmetto,FL
Walt Disney Magnet School,Chicago,IL
School Bus,San Francisco,CA
Mexia High School,Mexia,TX
Belmont Elementary School,Belmont,NH
Meadow View Elementary School,Plainfield,IL
Southwest High School,Macon,GA
Alexander W. Dreyfoos School of the Arts,West Palm Beach,FL
Heights High School,Houston,TX
Hot Springs High School,Hot Springs,AR
Andrew Jackson High School,Jacksonville,FL
Eden Ii Institute,Staten Island,NY
Riverside Elementary School,Suwanee,GA
Lowellville K-12 School,Lowellville,OH
Dothan City School Bus,Dothan,AL
Arrowview Middle School,San Bernardino,CA
Louise A. Benton Middle School,Manassas,VA
Hamilton Stem Academy,Columbus,OH
McKee Middle School (McKee Stadium),Jeannette City,PA
Morrill Elementary School,San Antonio,TX
Coquillard Elementary School,South Bend,IN
Aspen Ridge School,Ishpeming Township,MI
Wisconsin Conservatory of Lifelong Learning,Milwaukee,WI
Marietta City Schools Bus Yard,Marietta,GA
Hazelwood Central High School,Florissant,MO
Houck Middle School,Salem,OR
Edmund Burke School,Washington,DC
Mountain View Middle School,Redding,CA
Mott-Regent High School,Mott,ND
Meredith Middle School,Des Moines,IA
Gar-Field High School,Woodbridge,VA
Neshoba Central High School,Philadelphia,MS
Shelters Elementary School,Southgate,MI
Pine Bluff High School,Pine Bluff,AR
Lynn English High School,Lynn,MA
Ripley Middle School,Ripley,WV
St. Monica Catholic School,Mercer Island,WA
Roosevelt High School,Portland,OR
Erie High School,Erie,PA
Bloomington High School South,Bloomington,IN
Tanglewood Middle School,Greenville,SC
 West Philadelphia Achievement Charter Elementary School,Philadelphia,PA
Booker T Washington High School,Atlanta,GA
Kingman High School,Kingman,AZ
Lucy Addison Middle School,Roanoke,VA
Western High School,Las Vegas,NV
North Crowley High School,Fort Worth,TX
Oakdale Elementary School,Charlotte,NC
Highland High School,Salt Lake City,UT
Royse City High School,Royse City,TX
Brighton High School,Memphis,TN
Rippon Middle School,Woodbridge,VA
James Madison Middle School,Roanoke,VA
Woodrow Wilson High School,Dallas,TX
New Smyrna Beach High School,New Smyrna Beach,FL
Leap of Faith Middle School,Pascagoula,MS
Mahone Middle School,Kenosha,WI
Desert Canyon Middle School,Scottsdale,AZ
Central Baldwin Middle School,Loxley,AL
null,Providence,RI
Barrington High School,Barrington,IL
Redington Jr/Sr High School,Wasilla,AK
Loma Vista Middle School,Riverside,CA
Eisenhower High School,Yakima,WA
Paul Lawrence Dunbar High School,Baltimore,MD
Tech Academy Boston,Boston,MA
Forest Park Middle School,Forest Park,GA
Kraemer Middle School,Placentia,CA
New Foundations Charter School,Philadelphia,PA
Jerstad-Agerholm Elementary School,Racine,WI
Madison High School,Mansfield,OH
Fairland Middle School,Proctorville,OH
De Anza High School,Richmond,CA
Hamilton Middle School,Memphis,TN
Cora L. Rice Elementary School,Landover,MD
Rock Canyon High School,Highlands Ranch,CO
Kimball High School,Houston,TX
Espanola Valley High School,Espanola,NM
North Gardens High School,Miami Gardens,FL
East High School,Des Moines,IA
Olathe East High School,Olathe,KS
JW Sexton High School,Lansing,MI
Boys and Girls High School,Brooklyn,NY
Dunbar High School,Washington,DC
West Mesa High School,Albuquerque,NM
Sonnie Hereford Elementary,Huntsville,AL
Woodbridge High School,Woodbridge,VA
Alief ISD Center for Advanced Careers,Houston,TX
Liberty Point International Middle School,Pueblo,CO
John Carroll Elementary School,Hyattsville,MD
Wilson Middle School,Wilson,OK
McColm High School,McColm,MS
Camelot Elementary School,Chesapeake,VA
Tewksbury High School,Tewksbury,MA
McClure Elementary School,Grandview,WA
Lake City Middle School,Lake City,FL
Eagle Academy,Washington,DC
McKinley High School,Buffalo,NY
Minneapolis School Bus,Minneapolis,MN
Mount Vernon High School,Mount Vernon,NY
Catonsville High School,Catonsville,MD
Southwest DeKalb High School,Decatur,GA
Wenonah High School,Birmingham,AL
Speight Middle School,Stantonsburg,NC
Logan County Community Technology Center,Russellville,KY
Rufus King High School,Milwaukee,WI
Academy Park High School,Sharon Hill,PA
South Education Center,Richfield,MN
Alessandro Volta Elementary School,Chicago,IL
Beloit Memorial High School,Beloit,WI
Carroll High School,Monroe,LA
Montgomery Elementary School,Houston,TX
Bartram High School,Philadelphia,PA
Sunrise Mountain High School,Las Vegas,NV
Magruder High School,Rockville,MD
McNair High School,Atlanta,GA
Manor High School,Portsmouth,VA
Pittsburgh Oliver Citywide Academy,Pittsburgh,PA
Seminole High School,Sanford,FL
Anacostia High School,Washington,DC
Pyburn Elementary School,Houston,TX
Gaithersburg High School,Gaithersburg,MD
Valley High School,Albuquerque,NM
Florin High School,Sacramento,CA
Auburn High School,Rockford,IL
Childpeace Montessori School,Portland,OR
Columbus School Bus,Columbus,OH
Catawba College (high school tournament),Salisbury,NC
Woodrow Wilson Junior High,Dayton,TX
Eau Claire High School,Columbia,SC
P.S. 026 Jesse Owens,Brooklyn,NY
South Division High School,Milwaukee,WI
Menchville High School,Newport News,VA
West Charlotte High School,Charlotte,NC
East River High School,Orlando,FL
School No. 17,Rochester,NY
Jones County High School,Gray,GA
Edward A. Upthegrove Elementary School,LaBelle,FL
Jesse C. Carson High,China Grove,NC
Greater Oaks Charter School,New York,NY
Ewing Marion Kauffman School,Kansas City,MO
St. Matthews Elementary School,Louisville,KY
Haines Elementary School,Chicago,IL
Susan E. Wagner High School,Staten Island,NY
Wilmington Park Elementary School,Wilmington,CA
Blytheville High School,Blytheville,AR
Garfield High School,Seattle,WA
Sam Rayburn High School,Pasadena,TX
Humboldt High School,Humboldt,TN
Whitehall Yearling High School,Whitehall,OH
Oxford High School,Oxford,MI
Los Angeles School Bus,Los Angeles,CA
West Middle School,Rockford,IL
Cesar Chavez High School,Phoenix,AZ
Westmount High School,San Jose,CA
Central High School,Pageland,SC
Thornton Township High School,Harvey,IL
Cleveland School Bus,Cleveland,OH
Gilmor Elementary School,Baltimore,MD
Hinkley High School,Aurora,CO
P.S. 44,Bronx,NY
Jacksonville School Bus,Jacksonville,FL
Poughkeepsie High School,Poughkeepsie,NY
Ithaca High School,Ithaca,NY
Mesilla Valley Leadership Academy,Las Cruces,NM
Theodore Roosevelt High School,Bronx,NY
Oviedo High School,Oviedo,FL
Highland Middle School,Hobbs,NM
Sto Rox High School,McKees Rock,PA
